symbol,sector
360ONE,Financial Services
ACMESOLAR,Power
APLAPOLLO,Capital Goods
AUBANK,Financial Services
AWL,Fast Moving Consumer Goods
AARTIIND,Chemicals
ACUTAAS,Healthcare
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ATGL,Oil Gas & Consumable Fuels
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABLBL,Consumer Services
ABSLAMC,Financial Services
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AFCONS,Construction
ARE&M,Automobile and Auto Components
AMBUJACEM,Construction Materials
ANANTRAJ,Realty
ANGELONE,Financial Services
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTERDM,Healthcare
ASTRAL,Capital Goods
ATHERENERG,Automobile and Auto Components
AUROPHARMA,Healthcare
AIIL,Financial Services
DMART,Consumer Services
AXISBANK,Financial Services
BLS,Consumer Services
BSE,Financial Services
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHFL,Financial Services
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BELRISE,Automobile and Auto Components
BERGEPAINT,Consumer Durables
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Automobile and Auto Components
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARTIARTL,Telecommunication
GROWW,Financial Services
BIOCON,Healthcare
BSOFT,Information Technology
BLUEJET,Healthcare
BLUESTARCO,Consumer Durables
FIRSTCRY,Consumer Services
BRIGADE,Realty
CESC,Power
CGPOWER,Capital Goods
CIEINDIA,Automobile and Auto Components
CANBK,Financial Services
CANHLIFE,Financial Services
CGCL,Financial Services
CARTRADE,Consumer Services
CASTROLIND,Oil Gas & Consumable Fuels
CEMPRO,Construction
CDSL,Financial Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CIPLA,Healthcare
CUB,Financial Services
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COHANCE,Healthcare
CAMS,Financial Services
CONCOR,Services
CREDITACC,Financial Services
CROMPTON,Consumer Durables
CUMMINSIND,Capital Goods
DLF,Realty
DABUR,Fast Moving Consumer Goods
DATAPATTNS,Capital Goods
DEEPAKFERT,Chemicals
DELHIVERY,Services
DEVYANI,Consumer Services
DIXON,Consumer Durables
DRREDDY,Healthcare
EIHOTEL,Consumer Services
EICHERMOT,Automobile and Auto Components
ELECON,Capital Goods
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
EMMVEE,Capital Goods
ENGINERSIN,Construction
ETERNAL,Consumer Services
EXIDEIND,Automobile and Auto Components
NYKAA,Consumer Services
FEDERALBNK,Financial Services
FACT,Chemicals
FINCABLES,Capital Goods
FSL,Services
FIVESTAR,Financial Services
FORTIS,Healthcare
GAIL,Oil Gas & Consumable Fuels
GVT&D,Capital Goods
GMRAIRPORT,Services
GALLANTT,Capital Goods
GRSE,Capital Goods
GLENMARK,Healthcare
GPIL,Capital Goods
GODFRYPHLP,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJPROP,Realty
GRANULES,Healthcare
GRAPHITE,Capital Goods
GRASIM,Construction Materials
GESHIP,Services
GMDCLTD,Metals & Mining
HEG,Capital Goods
HBLENGINE,Capital Goods
HCLTECH,Information Technology
HDBFS,Financial Services
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HFCL,Telecommunication
HAVELLS,Consumer Durables
HEROMOTOCO,Automobile and Auto Components
HEXT,Information Technology
HSCL,Chemicals
HINDALCO,Metals & Mining
HAL,Capital Goods
HINDCOPPER,Metals & Mining
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
